Time,CPU%,MemoryMB,Handles,Threads,Anomaly
17:52:21,0,154,271,1,False
17:52:49,0,154,271,1,False
17:53:19,0,154,271,1,False
17:53:49,0,154,271,1,False
18:02:17,0,154,271,1,False
18:02:48,0,154,271,1,False
18:03:18,0,154,271,1,False
18:03:48,0,155,275,1,False
18:04:18,0,155,275,1,False
18:04:48,0,155,275,1,False
18:05:18,0,155,275,1,False
18:05:48,0,155,275,1,False
18:06:18,0,155,275,1,False
18:06:48,0,155,275,1,False
18:07:18,0,155,275,1,False
18:07:48,0,155,275,1,False
18:08:18,0,155,275,1,False
18:08:48,0,155,275,1,False
18:09:18,0,155,275,1,False
18:09:48,0,155,275,1,False
18:10:18,0,155,275,1,False
18:10:48,0,155,275,1,False
18:11:18,0,155,275,1,False
18:11:48,0,155,275,1,False
18:12:18,0,155,275,1,False
18:12:48,0,155,275,1,False
18:13:18,0,155,275,1,False
18:13:48,0,155,275,1,False
18:14:18,0,155,275,1,False
18:14:48,0,155,275,1,False
18:15:18,0,155,275,1,False
18:15:48,0,155,275,1,False
18:16:18,0,155,275,1,False
18:16:48,0,155,275,1,False
18:17:19,0,155,275,1,False
18:17:49,0,155,275,1,False
18:18:19,0,155,275,1,False
18:18:49,0,155,275,1,False
18:19:19,0,155,275,1,False
18:19:49,0,155,275,1,False
18:20:19,0,155,275,1,False
18:20:49,0,155,275,1,False
18:21:19,0,155,275,1,False
18:21:49,0,155,275,1,False
18:22:19,0,155,275,1,False
18:22:49,0,155,275,1,False
18:23:19,0,155,275,1,False
18:23:49,0,155,275,1,False
18:24:19,0,155,275,1,False
18:24:49,0,155,275,1,False
18:25:19,0,155,275,1,False
18:25:49,0,155,275,1,False
18:26:19,0,155,275,1,False
18:26:49,0,155,275,1,False
18:27:19,0,155,275,1,False
18:27:49,0,155,275,1,False
18:28:19,0,155,275,1,False
18:28:49,0,155,275,1,False
18:29:19,0,155,275,1,False
18:29:49,0,155,275,1,False
18:30:19,0,155,275,1,False
18:30:49,0,155,275,1,False
18:31:20,0,155,275,1,False
18:31:50,0,155,275,1,False
18:32:20,0,155,275,1,False
18:32:50,0,155,275,1,False
18:33:20,0,155,275,1,False
18:33:50,0,155,275,1,False
18:34:20,0,155,275,1,False
18:34:50,0,155,275,1,False
18:35:20,0,155,275,1,False
18:35:50,0,155,275,1,False
18:36:20,0,155,275,1,False
18:36:50,0,155,275,1,False
18:37:20,0,155,275,1,False
18:37:50,0,155,275,1,False
18:38:20,0,155,275,1,False
18:38:50,0,155,275,1,False
18:39:20,0,155,275,1,False
18:39:50,0,155,275,1,False
18:40:20,0,155,275,1,False
18:40:50,0,155,275,1,False
18:41:20,0,155,275,1,False
18:41:50,0,155,275,1,False
18:42:20,0,155,275,1,False
18:42:50,0,155,275,1,False
18:43:20,0,155,275,1,False
18:43:50,0,155,275,1,False
18:44:20,0,155,275,1,False
18:44:50,0,155,275,1,False
18:45:21,0,155,275,1,False
18:45:51,0,155,275,1,False
18:46:21,0,155,275,1,False
18:46:51,0,155,275,1,False
18:47:21,0,155,275,1,False
18:47:51,0,155,275,1,False
18:48:21,0,155,275,1,False
18:48:51,0,155,275,1,False
18:49:21,0,155,275,1,False
18:49:51,0,155,275,1,False
18:50:21,0,155,275,1,False
18:50:51,0,155,275,1,False
18:51:21,0,155,275,1,False
18:51:51,0,155,275,1,False
18:52:21,0,155,275,1,False
18:52:51,0,155,275,1,False
18:53:21,0,155,275,1,False
18:53:51,0,155,275,1,False
18:54:21,0,155,275,1,False
18:54:51,0,155,275,1,False
18:55:21,0,155,275,1,False
18:55:51,0,155,275,1,False
18:56:21,0,155,275,1,False
18:56:51,0,155,275,1,False
18:57:21,0,155,275,1,False
18:57:51,0,155,275,1,False
18:58:21,0,155,275,1,False
18:58:51,0,155,275,1,False
18:59:21,0,155,275,1,False
18:59:52,0,155,275,1,False
19:00:22,0,155,275,1,False
19:00:52,0,155,275,1,False
19:01:22,0,155,275,1,False
19:01:52,0,155,275,1,False
19:02:22,0,155,275,1,False
19:02:52,0,155,275,1,False
19:03:22,0,155,275,1,False
19:03:52,0,155,275,1,False
19:04:22,0,155,275,1,False
19:04:52,0,155,275,1,False
19:05:22,0,155,275,1,False
19:05:52,0,155,275,1,False
19:06:22,0,155,275,1,False
19:06:52,0,155,275,1,False
19:07:22,0,155,275,1,False
19:07:52,0,155,275,1,False
19:08:22,0,155,275,1,False
19:08:52,0,155,275,1,False
19:09:22,0,155,275,1,False
19:09:52,0,155,275,1,False
19:10:22,0,155,275,1,False
19:10:52,0,155,275,1,False
19:11:22,0,155,275,1,False
19:11:52,0,155,275,1,False
19:12:22,0,155,275,1,False
19:12:52,0,155,275,1,False
19:13:22,0,155,275,1,False
19:13:52,0,155,275,1,False
19:14:22,0,155,275,1,False
19:14:52,0,155,275,1,False
19:15:23,0,155,275,1,False
19:15:53,0,155,275,1,False
19:16:23,0,155,275,1,False
19:16:53,0,155,275,1,False
19:17:23,0,155,275,1,False
19:17:53,0,155,275,1,False
19:18:23,0,155,275,1,False
19:18:53,0,155,275,1,False
19:19:23,0,155,275,1,False
19:19:53,0,155,275,1,False
19:20:23,0,155,275,1,False
19:20:53,0,155,275,1,False
19:21:23,0,155,275,1,False
19:21:53,0,155,275,1,False
19:22:23,0,155,275,1,False
19:22:53,0,155,275,1,False
19:23:23,0,155,275,1,False
19:23:53,0,155,275,1,False
19:24:23,0,155,275,1,False
19:24:53,0,155,275,1,False
19:25:23,0,155,275,1,False
19:25:53,0,155,275,1,False
19:26:23,0,155,275,1,False
19:26:53,0,155,275,1,False
19:27:23,0,155,275,1,False
19:27:53,0,155,275,1,False
19:28:23,0,155,275,1,False
