Time,CPU%,MemoryMB,Handles,Threads,Anomaly
05:03:03,0,155,275,1,False
05:03:33,0,155,275,1,False
05:04:03,0,155,275,1,False
05:04:33,0,155,275,1,False
05:05:03,0,155,275,1,False
05:05:33,0,155,275,1,False
05:06:03,0,155,275,1,False
05:06:33,0,155,275,1,False
05:07:03,0,155,275,1,False
05:07:33,0,155,275,1,False
05:08:03,0,155,275,1,False
05:08:33,0,155,275,1,False
05:09:03,0,155,275,1,False
05:09:33,0,155,275,1,False
05:10:03,0,155,275,1,False
05:10:33,0,155,275,1,False
05:11:03,0,155,275,1,False
05:11:33,0,155,275,1,False
05:12:03,0,155,275,1,False
05:12:33,0,155,275,1,False
05:13:03,0,155,275,1,False
05:13:33,0,155,275,1,False
05:14:03,0,155,275,1,False
05:14:33,0,155,275,1,False
05:15:03,0,155,275,1,False
05:15:33,0,155,275,1,False
05:16:04,0,155,275,1,False
05:16:34,0,155,275,1,False
05:17:04,0,155,275,1,False
05:17:34,0,155,275,1,False
05:18:04,0,155,275,1,False
05:18:34,0,155,275,1,False
05:19:04,0,155,275,1,False
05:19:34,0,155,275,1,False
05:20:04,0,155,275,1,False
05:20:34,0,155,275,1,False
05:21:04,0,155,275,1,False
05:21:34,0,155,275,1,False
05:22:04,0,155,275,1,False
05:22:34,0,155,275,1,False
05:23:04,0,155,275,1,False
05:23:34,0,155,275,1,False
05:24:04,0,155,275,1,False
05:24:34,0,155,275,1,False
05:25:04,0,155,275,1,False
05:25:34,0,155,275,1,False
05:26:04,0,155,275,1,False
05:26:34,0,155,275,1,False
05:27:04,0,155,275,1,False
05:27:34,0,155,275,1,False
05:28:04,0,155,275,1,False
05:28:34,0,155,275,1,False
05:29:04,0,155,275,1,False
05:29:34,0,155,275,1,False
05:30:04,0,155,275,1,False
05:30:34,0,155,275,1,False
05:31:05,0,155,275,1,False
05:31:35,0,155,275,1,False
05:32:05,0,155,275,1,False
05:32:35,0,155,275,1,False
05:33:05,0,155,275,1,False
05:33:35,0,155,275,1,False
05:34:05,0,155,275,1,False
05:34:35,0,155,275,1,False
05:35:05,0,155,275,1,False
05:35:35,0,155,275,1,False
05:36:05,0,155,275,1,False
05:36:35,0,155,275,1,False
05:37:05,0,155,275,1,False
05:37:35,0,155,275,1,False
05:38:05,0,155,275,1,False
05:38:35,0,155,275,1,False
05:39:05,0,155,275,1,False
05:39:35,0,155,275,1,False
05:40:05,0,155,275,1,False
05:40:35,0,155,275,1,False
05:41:05,0,155,275,1,False
05:41:35,0,155,275,1,False
05:42:05,0,155,275,1,False
05:42:35,0,155,275,1,False
05:43:05,0,155,275,1,False
05:43:35,0,155,275,1,False
05:44:05,0,155,275,1,False
05:44:35,0,155,275,1,False
05:45:05,0,155,275,1,False
05:45:35,0,155,275,1,False
05:46:06,0,155,275,1,False
05:46:36,0,155,275,1,False
05:47:06,0,155,275,1,False
05:47:36,0,155,275,1,False
05:48:06,0,155,275,1,False
05:48:36,0,155,275,1,False
05:49:06,0,155,275,1,False
05:49:36,0,155,275,1,False
05:50:06,0,155,275,1,False
05:50:36,0,155,275,1,False
05:51:06,0,155,275,1,False
05:51:36,0,155,275,1,False
05:52:06,0,155,275,1,False
05:52:36,0,155,275,1,False
05:53:06,0,155,275,1,False
05:53:36,0,155,275,1,False
05:54:06,0,155,275,1,False
05:54:36,0,155,275,1,False
05:55:06,0,155,275,1,False
05:55:36,0,155,275,1,False
05:56:06,0,155,275,1,False
05:56:36,0,155,275,1,False
05:57:06,0,155,275,1,False
05:57:36,0,155,275,1,False
05:58:06,0,155,275,1,False
05:58:36,0,155,275,1,False
05:59:06,0,155,275,1,False
05:59:36,0,155,275,1,False
06:00:06,0,155,275,1,False
06:00:37,0,155,275,1,False
06:01:07,0,155,275,1,False
06:01:37,0,155,275,1,False
06:02:07,0,155,275,1,False
06:02:37,0,155,275,1,False
06:03:07,0,155,275,1,False
06:03:37,0,155,275,1,False
06:04:07,0,155,275,1,False
06:04:37,0,155,275,1,False
06:05:07,0,155,275,1,False
06:05:37,0,155,275,1,False
06:06:07,0,155,275,1,False
06:06:37,0,155,275,1,False
06:07:07,0,155,275,1,False
06:07:37,0,155,275,1,False
06:08:07,0,155,275,1,False
06:08:37,0,155,275,1,False
06:09:07,0,155,275,1,False
06:09:37,0,155,275,1,False
06:10:07,0,155,275,1,False
06:10:37,0,155,275,1,False
06:11:07,0,155,275,1,False
06:11:37,0,155,275,1,False
